"user_id","agrees","disagrees","passes","total_votes","statement_text","group_A_agrees","group_A_disagrees","group_A_passes","group_B_agrees","group_B_disagrees","group_B_passes","group_C_agrees","group_C_disagrees","group_C_passes","moderation_status","is_seed"
"","196","318","115","629","I would welcome new development in my area if it meant it helped to reduce flooding.
","57","8","13","12","204","24","127","106","77","","true"
"","157","335","81","573","I would welcome new development in my area if it meant new or improved local sports facilities.
","42","16","17","9","192","13","105","125","50","","true"
"","225","361","92","678","I would be happy to see more development in my area if it meant we had access to more places where local people could socialise and hold events.
","46","11","17","7","225","17","170","120","56","","true"
"","414","321","98","833","I would support new development in our area if it meant more funding or improvements to local health services and schools.
","69","5","8","23","249","26","319","63","63","","true"
"","281","113","82","476","It is important that new homes in the future are located near village centres, helping to keep homes near community facilities and protect the surrounding countryside.
","25","17","17","93","54","33","158","42","31","","true"
"","88","204","73","365","It would be best if new homes were not concentrated near village centres, but located in the surrounding countryside to provide more rural homes.","11","26","19","30","91","22","47","87","32","","true"
"","89","170","84","343","New homes should be focused in a fewer, larger developments, rather than more smaller developments.
","10","27","17","36","66","29","43","77","37","","true"
"","321","238","76","635","Having more green energy sources, such as wind and solar farms, is really important for the future – even if it means changing the landscape.
","57","8","9","65","156","25","198","73","42","","true"
"","373","69","64","506","New development should be shared across many villages, so growth feels fair.

","59","4","9","110","49","32","204","16","23","","true"
"","428","49","48","525","New housing should be affordable giving young people from the district the chance to get on the housing ladder, rather than having to find homes outside of South Staffordshire.
","53","5","6","137","37","26","235","7","16","","true"
"","370","46","58","474","New housing should be built in such a way that modifications can be made to enhance the quality of life for people as they age, or for those with additional needs or disabilities.
","49","5","8","129","25","30","189","15","20","","true"
"","318","91","82","491","By 2045, there should be more bungalows, retirement accommodation, and care homes in the district.
","36","9","18","102","49","30","177","33","33","","true"
"","381","119","77","577","New homes should be built within walking distance of schools, shops, and bus stops.
","44","12","10","109","74","40","225","33","27","","true"
"","203","374","91","668","I would welcome new housing in my area if it improved public transport.
","52","11","13","7","221","16","143","142","62","","true"
"","404","97","72","573","I would welcome the creation of more local small business premises.
","55","4","11","110","77","23","235","16","38","","true"
"","256","363","91","710","I would welcome new large business sites in my local area if it meant creation of jobs and more investment into the district.
","51","17","7","22","215","25","181","130","59","","true"
"","257","146","105","508","Attracting a range of new businesses to the district should be a priority.
","37","10","16","66","95","31","154","41","57","","true"
"","420","96","73","589","Spaces and activities for children and teenagers should be a priority when creating new housing.
","50","10","15","119","64","30","246","22","27","","true"
"","354","119","59","532","A high priority should be ensuring South Staffordshire is an attractive place to visit for tourists.
","37","21","11","126","53","14","186","44","33","","true"
"","384","10","23","417","Local village centres should have a good mix of independent shops and services.
","53","2","4","143","6","8","185","2","11","","true"
"","352","405","77","834","I would welcome new housing in my areas if it meant improvements to road infrastructure to accommodate it.
","74","5","8","11","269","14","266","125","52","","true"
"","392","20","25","437","A key priority is making sure everyone in the community has access to nature and green spaces.
","55","4","4","149","7","7","185","9","14","","true"
"","307","126","89","522","I would rather see more green spaces and trees on business and housing development sites, even if it means sites need to be bigger or more areas need to be found for development.
","48","11","7","86","68","40","170","47","42","","true"
"","419","46","21","486","I believe that new housing developments should be built on brownfield sites first. Green belt sites should be Avery last resort, and only with the consent of local people after full consultation with them.","23","30","12","182","5","4","214","11","5","","false"
"","303","79","85","467","I believe a development of more than 50 homes should contribute towards providing a bus route to within 400m of the new site.","34","15","19","102","40","32","165","24","34","","false"
"","407","50","47","504","Stop the re designation of Greenbelt becoming grey belt.","16","33","22","183","3","5","208","14","20","","false"
"","419","44","27","490","I feel that no new builds should be built till there is a thorough investigation of the land that’s it being built on and what strain is put on the existing facility’s","18","35","12","187","1","2","211","8","12","","false"
"","433","63","45","541","I would welcome all new houses be built on brown belt land as there is loads of it ! and then you can stop DESTROYING OUR LOVERLY GREEN BELT","12","44","15","189","8","6","231","11","23","","false"
"","408","60","44","512","I think all new homes should be BUILT ON Brown Belt land, also no NEW homes should be built if your local Infrastructure like Doctors and Roads are FAILING.","21","39","15","172","7","8","210","14","21","","false"
"","254","61","31","346","NO Planner should be allowed to Sign Plans off without Speaking Directly to at least 200 homeowners that the build would effect.","5","40","7","127","4","12","122","17","12","","false"
"","451","85","59","595","NO NEW BUILDS WHERE GREENBELT IS ROBBED, ERODED AWAY","9","54","17","216","2","9","224","29","33","","false"
"","357","202","93","652","i agree with development if social housing is part of the process and developers cant water down once permission is granted and must be water tight","55","10","11","61","143","32","240","48","50","","false"
"","274","240","82","596","It is important to develop brown field sites early before the need to use green field sites. However given the need for 12000 houses into the future it is inevitable that some green field sites will be required","59","2","10","49","145","24","163","91","45","","false"
"","206","151","77","434","New bike paths and bridleways need to be developed and existing footpaths turned into bridleways where possible.","24","26","17","67","66","27","114","59","33","","false"
"","342","9","26","377","The views and feedback from a community nearby any development should be seen to be taken into account.","43","5","12","132","1","4","163","2","10","","false"
"","339","72","58","469","More bungalows for older people would release their homes onto the market and allow movement in the housing stock","41","13","11","108","40","26","186","19","21","","false"
"","77","305","42","424","Most of our homes were built on green land so I have no objection to it being used to relieve the housing shortage","46","9","9","2","162","3","28","130","29","","false"
"","389","128","71","588","There should be at least 30% social housing, some bungalows with disabled access (all one level), and priority for these should be for people who have lived in area for longest.","39","20","13","105","79","29","235","29","28","","false"
"","304","51","60","415","New development should prevent settlements merging to retain their character.","22","26","15","124","7","17","157","18","28","","false"
